,Date,DateFloat,FutureValue
75,2019-04-13 23:09:55.662178,1.555196995662178e+18,40.5400256052333
76,2019-04-14 23:09:55.662178,1.555283395662178e+18,40.54132542332425
77,2019-04-15 23:09:55.662178,1.555369795662178e+18,40.54262524141521
78,2019-04-16 23:09:55.662178,1.555456195662178e+18,40.543925059506165
79,2019-04-17 23:09:55.662178,1.555542595662178e+18,40.545224877597114
80,2019-04-18 23:09:55.662178,1.555628995662178e+18,40.54652469568806
81,2019-04-19 23:09:55.662178,1.555715395662178e+18,40.54782451377902
82,2019-04-20 23:09:55.662178,1.555801795662178e+18,40.54912433186997
83,2019-04-21 23:09:55.662178,1.555888195662178e+18,40.55042414996092
84,2019-04-22 23:09:55.662178,1.555974595662178e+18,40.551723968051874
85,2019-04-23 23:09:55.662178,1.556060995662178e+18,40.55302378614283
