,Date,DateFloat,FutureValue
39,2019-03-08 23:09:55.587497,1.552086595587497e+18,256.18366140085357
40,2019-03-09 23:09:55.587497,1.552172995587497e+18,256.23434428987787
41,2019-03-10 23:09:55.587497,1.552259395587497e+18,256.28502717890206
42,2019-03-11 23:09:55.587497,1.552345795587497e+18,256.33571006792636
43,2019-03-12 23:09:55.587497,1.552432195587497e+18,256.38639295695054
44,2019-03-13 23:09:55.587497,1.552518595587497e+18,256.43707584597473
45,2019-03-14 23:09:55.587497,1.552604995587497e+18,256.48775873499903
46,2019-03-15 23:09:55.587497,1.552691395587497e+18,256.5384416240232
47,2019-03-16 23:09:55.587497,1.552777795587497e+18,256.5891245130475
48,2019-03-17 23:09:55.587497,1.552864195587497e+18,256.6398074020717
49,2019-03-18 23:09:55.587497,1.552950595587497e+18,256.690490291096
50,2019-03-19 23:09:55.587497,1.553036995587497e+18,256.7411731801202
51,2019-03-20 23:09:55.587497,1.553123395587497e+18,256.7918560691445
52,2019-03-21 23:09:55.587497,1.553209795587497e+18,256.8425389581687
53,2019-03-22 23:09:55.587497,1.553296195587497e+18,256.8932218471929
54,2019-03-23 23:09:55.587497,1.553382595587497e+18,256.9439047362172
55,2019-03-24 23:09:55.587497,1.553468995587497e+18,256.99458762524137
56,2019-03-25 23:09:55.587497,1.553555395587497e+18,257.04527051426567
57,2019-03-26 23:09:55.587497,1.553641795587497e+18,257.09595340328985
58,2019-03-27 23:09:55.587497,1.553728195587497e+18,257.14663629231416
59,2019-03-28 23:09:55.587497,1.553814595587497e+18,257.19731918133834
60,2019-03-29 23:09:55.587497,1.553900995587497e+18,257.24800207036265
61,2019-03-30 23:09:55.587497,1.553987395587497e+18,257.29868495938683
62,2019-03-31 23:09:55.587497,1.554073795587497e+18,257.34936784841113
63,2019-04-01 23:09:55.587497,1.554160195587497e+18,257.4000507374353
64,2019-04-02 23:09:55.587497,1.554246595587497e+18,257.4507336264595
65,2019-04-03 23:09:55.587497,1.554332995587497e+18,257.5014165154838
66,2019-04-04 23:09:55.587497,1.554419395587497e+18,257.552099404508
67,2019-04-05 23:09:55.587497,1.554505795587497e+18,257.6027822935323
68,2019-04-06 23:09:55.587497,1.554592195587497e+18,257.6534651825565
69,2019-04-07 23:09:55.587497,1.554678595587497e+18,257.7041480715808
70,2019-04-08 23:09:55.587497,1.554764995587497e+18,257.754830960605
71,2019-04-09 23:09:55.587497,1.554851395587497e+18,257.8055138496293
72,2019-04-10 23:09:55.587497,1.554937795587497e+18,257.85619673865347
73,2019-04-11 23:09:55.587497,1.555024195587497e+18,257.90687962767765
74,2019-04-12 23:09:55.587497,1.555110595587497e+18,257.95756251670196
75,2019-04-13 23:09:55.587497,1.555196995587497e+18,258.00824540572614
76,2019-04-14 23:09:55.587497,1.555283395587497e+18,258.05892829475044
77,2019-04-15 23:09:55.587497,1.555369795587497e+18,258.10961118377463
78,2019-04-16 23:09:55.587497,1.555456195587497e+18,258.16029407279893
79,2019-04-17 23:09:55.587497,1.555542595587497e+18,258.2109769618231
80,2019-04-18 23:09:55.587497,1.555628995587497e+18,258.2616598508474
81,2019-04-19 23:09:55.587497,1.555715395587497e+18,258.3123427398716
82,2019-04-20 23:09:55.587497,1.555801795587497e+18,258.3630256288958
83,2019-04-21 23:09:55.587497,1.555888195587497e+18,258.4137085179201
84,2019-04-22 23:09:55.587497,1.555974595587497e+18,258.4643914069443
85,2019-04-23 23:09:55.587497,1.556060995587497e+18,258.5150742959686
